opensearch	http://a9.com/-/spec/opensearch/1.1/
aers	http://aers.data2semantics.org/resource/
aersv	http://aers.data2semantics.org/vocab/
aims	http://aims.fao.org/aos/common/
jita	http://aims.fao.org/aos/jita/
aneo	http://akonadi-project.org/ontologies/aneo#
iswc	http://annotation.semanticweb.org/2004/iswc#
atomrdf	http://atomowl.org/ontologies/atomrdf#
atomowl	http://bblfish.net/work/atom-owl/2006-06-06/#
bf	http://bibframe.org/vocab/
bing	http://bing.com/schema/media/
bio2rdf	http://bio2rdf.org/
chebi	http://bio2rdf.org/chebi:
biocore	http://bio2rdf.org/core:
hgnc	http://bio2rdf.org/hgnc:
biopax	http://bio2rdf.org/ns/biopax#
b2rpubchem	http://bio2rdf.org/ns/ns/ns/pubchem#
coeus	http://bioinformatics.ua.pt/coeus/
ya	http://blogs.yandex.ru/schema/foaf/
atomix	http://buzzword.org.uk/rdf/atomix#
h5	http://buzzword.org.uk/rdf/h5#
plink	http://buzzword.org.uk/rdf/personal-link-types#
vcardx	http://buzzword.org.uk/rdf/vcardx#
xen	http://buzzword.org.uk/rdf/xen#
xhe	http://buzzword.org.uk/rdf/xhtml-elements#
calli	http://callimachusproject.org/rdf/2009/framework#
cpm	http://catalogus-professorum.org/cpm/
cb	http://cbasewrap.ontologycentral.com/vocab#
granatum	http://chem.deri.ie/granatum/
climb	http://climb.dataincubator.org/vocabs/climb/
commons	http://commons.psi.enakting.org/def/
ctag	http://commontag.org/ns#
conserv	http://conserv.deri.ie/ontology#
trait	http://contextus.net/ontology/ontomedia/ext/common/trait#
courseware	http://courseware.rkbexplorer.com/ontologies/courseware#
cc	http://creativecommons.org/ns#
jdbc	http://d2rq.org/terms/jdbc/
blt	http://data.bl.uk/schema/bibliographic#
eumida	http://data.kasabi.com/dataset/eumida/terms/
italy	http://data.kasabi.com/dataset/italy/schema/
ct	http://data.linkedct.org/resource/linkedct/
linkedct	http://data.linkedct.org/vocab/
lctr	http://data.linkedct.org/vocab/resource/
movie	http://data.linkedmdb.org/resource/movie/
linkedmdb	http://data.linkedmdb.org/sparql/
laposte	http://data.lirmm.fr/ontologies/laposte#
osp	http://data.lirmm.fr/ontologies/osp#
passim	http://data.lirmm.fr/ontologies/passim#
vdpp	http://data.lirmm.fr/ontologies/vdpp#
nyt	http://data.nytimes.com/element/
nytimes	http://data.nytimes.com/elements/
osgb	http://data.ordnancesurvey.co.uk/id/
postcode	http://data.ordnancesurvey.co.uk/id/postcodeunit/
gazetteer	http://data.ordnancesurvey.co.uk/ontology/50kGazetteer/
admingeo	http://data.ordnancesurvey.co.uk/ontology/admingeo/
osgeom	http://data.ordnancesurvey.co.uk/ontology/geometry/
ospost	http://data.ordnancesurvey.co.uk/ontology/postcode/
spacerel	http://data.ordnancesurvey.co.uk/ontology/spatialrelations/
pna	http://data.press.net/ontology/asset/
pne	http://data.press.net/ontology/event/
pns	http://data.press.net/ontology/stuff/
ekaw	http://data.semanticweb.org/conference/ekaw/2012/complete/
swc	http://data.semanticweb.org/ns/swc/ontology#
game	http://data.totl.net/game/
occult	http://data.totl.net/occult/
tarot	http://data.totl.net/tarot/card/
dgtwc	http://data-gov.tw.rpi.edu/2009/data-gov-twc.rdf#
ocd	http://dati.camera.it/ocd/
osr	http://dati.senato.it/osr/
bcnbio	http://datos.bcn.cl/ontologies/bcn-biographies#
bcncon	http://datos.bcn.cl/ontologies/bcn-congress#
bcngeo	http://datos.bcn.cl/ontologies/bcn-geographics#
